Player Name,Player Id,URL,Market Value,Age,Position
Pablo Maia,892089,https://www.transfermarkt.com.br/pablo-maia/profil/spieler/892089,"14,00 mi. €",22,Midfielders
Richard Ríos,735573,https://www.transfermarkt.com.br/richard-rios/profil/spieler/735573,"13,00 mi. €",24,Midfielders
Lorran,1009030,https://www.transfermarkt.com.br/lorran/profil/spieler/1009030,"12,00 mi. €",18,Midfielders
Mauricio,678439,https://www.transfermarkt.com.br/mauricio/profil/spieler/678439,"12,00 mi. €",23,Midfielders
Franco Cristaldo,332259,https://www.transfermarkt.com.br/franco-cristaldo/profil/spieler/332259,"10,00 mi. €",28,Midfielders
Mathías Villasanti,436385,https://www.transfermarkt.com.br/mathias-villasanti/profil/spieler/436385,"10,00 mi. €",27,Midfielders
Aníbal Moreno,642758,https://www.transfermarkt.com.br/anibal-moreno/profil/spieler/642758,"10,00 mi. €",25,Midfielders
Matías Zaracho,480774,https://www.transfermarkt.com.br/matias-zaracho/profil/spieler/480774,"9,00 mi. €",26,Midfielders
Rodrigo Garro,565009,https://www.transfermarkt.com.br/rodrigo-garro/profil/spieler/565009,"9,00 mi. €",26,Midfielders
Martinelli,815558,https://www.transfermarkt.com.br/martinelli/profil/spieler/815558,"9,00 mi. €",23,Midfielders
Rodrigo Nestor,468304,https://www.transfermarkt.com.br/rodrigo-nestor/profil/spieler/468304,"9,00 mi. €",24,Midfielders
Matheus Pereira,225984,https://www.transfermarkt.com.br/matheus-pereira/profil/spieler/225984,"8,50 mi. €",28,Midfielders
Matheus Henrique,552549,https://www.transfermarkt.com.br/matheus-henrique/profil/spieler/552549,"8,50 mi. €",26,Midfielders
Gustavo Scarpa,330085,https://www.transfermarkt.com.br/gustavo-scarpa/profil/spieler/330085,"8,00 mi. €",30,Midfielders
Gabriel Menino,608216,https://www.transfermarkt.com.br/gabriel-menino/profil/spieler/608216,"8,00 mi. €",24,Midfielders
Philippe Coutinho,80444,https://www.transfermarkt.com.br/philippe-coutinho/profil/spieler/80444,"7,50 mi. €",32,Midfielders
Christian,658678,https://www.transfermarkt.com.br/christian/profil/spieler/658678,"7,00 mi. €",23,Midfielders
Jean Lucas,578872,https://www.transfermarkt.com.br/jean-lucas/profil/spieler/578872,"7,00 mi. €",26,Midfielders
Caio Alexandre,727751,https://www.transfermarkt.com.br/caio-alexandre/profil/spieler/727751,"6,50 mi. €",25,Midfielders
Caio Alexandre,727751,https://www.transfermarkt.com.br/caio-alexandre/profil/spieler/727751,"6,50 mi. €",25,Midfielders
Miguel Monsalve,828045,https://www.transfermarkt.com.br/miguel-monsalve/profil/spieler/828045,"6,00 mi. €",20,Midfielders
Jefferson Savarino,309193,https://www.transfermarkt.com.br/jefferson-savarino/profil/spieler/309193,"6,00 mi. €",28,Midfielders
Walace,323954,https://www.transfermarkt.com.br/walace/profil/spieler/323954,"6,00 mi. €",29,Midfielders
Allan,385271,https://www.transfermarkt.com.br/allan/profil/spieler/385271,"6,00 mi. €",27,Midfielders
Bruno Zapelli,711600,https://www.transfermarkt.com.br/bruno-zapelli/profil/spieler/711600,"6,00 mi. €",22,Midfielders
Thiago Maia,294873,https://www.transfermarkt.com.br/thiago-maia/profil/spieler/294873,"6,00 mi. €",27,Midfielders
Cauly,162812,https://www.transfermarkt.com.br/cauly/profil/spieler/162812,"6,00 mi. €",29,Midfielders
Breno Bidon,1029227,https://www.transfermarkt.com.br/breno-bidon/profil/spieler/1029227,"5,00 mi. €",19,Midfielders
Álvaro Barreal,613873,https://www.transfermarkt.com.br/alvaro-barreal/profil/spieler/613873,"5,00 mi. €",24,Midfielders
Erick Pulgar,215616,https://www.transfermarkt.com.br/erick-pulgar/profil/spieler/215616,"5,00 mi. €",30,Midfielders
Fabinho,627230,https://www.transfermarkt.com.br/fabinho/profil/spieler/627230,"5,00 mi. €",22,Midfielders
Tomás Pochettino,348354,https://www.transfermarkt.com.br/tomas-pochettino/profil/spieler/348354,"5,00 mi. €",28,Midfielders
Otávio,312314,https://www.transfermarkt.com.br/otavio/profil/spieler/312314,"4,50 mi. €",30,Midfielders
Fausto Vera,491701,https://www.transfermarkt.com.br/fausto-vera/profil/spieler/491701,"4,50 mi. €",24,Midfielders
Juan Sforza,659264,https://www.transfermarkt.com.br/juan-sforza/profil/spieler/659264,"4,50 mi. €",22,Midfielders
Zé Rafael,225432,https://www.transfermarkt.com.br/ze-rafael/profil/spieler/225432,"4,50 mi. €",31,Midfielders
Nicolás Acevedo,625569,https://www.transfermarkt.com.br/nicolas-acevedo/profil/spieler/625569,"4,50 mi. €",25,Midfielders
Igor Coronado,215915,https://www.transfermarkt.com.br/igor-coronado/profil/spieler/215915,"4,00 mi. €",32,Midfielders
Maycon,421935,https://www.transfermarkt.com.br/maycon/profil/spieler/421935,"4,00 mi. €",27,Midfielders
Igor Gomes,553459,https://www.transfermarkt.com.br/igor-gomes/profil/spieler/553459,"4,00 mi. €",25,Midfielders
Marlon Freitas,364972,https://www.transfermarkt.com.br/marlon-freitas/profil/spieler/364972,"4,00 mi. €",29,Midfielders
Marcos Antônio,468301,https://www.transfermarkt.com.br/marcos-antonio/profil/spieler/468301,"4,00 mi. €",24,Midfielders
Santiago Longo,697065,https://www.transfermarkt.com.br/santiago-longo/profil/spieler/697065,"4,00 mi. €",26,Midfielders
Erick,633212,https://www.transfermarkt.com.br/erick/profil/spieler/633212,"4,00 mi. €",27,Midfielders
David Terans,261309,https://www.transfermarkt.com.br/david-terans/profil/spieler/261309,"4,00 mi. €",30,Midfielders
Alan Patrick,104505,https://www.transfermarkt.com.br/alan-patrick/profil/spieler/104505,"4,00 mi. €",33,Midfielders
Lucas Evangelista,270188,https://www.transfermarkt.com.br/lucas-evangelista/profil/spieler/270188,"4,00 mi. €",29,Midfielders
Jadsom,612162,https://www.transfermarkt.com.br/jadsom/profil/spieler/612162,"4,00 mi. €",23,Midfielders
Eric Ramires,614328,https://www.transfermarkt.com.br/eric-ramires/profil/spieler/614328,"4,00 mi. €",24,Midfielders
Jhon Jhon,964582,https://www.transfermarkt.com.br/jhon-jhon/profil/spieler/964582,"4,00 mi. €",22,Midfielders
Raniele,546530,https://www.transfermarkt.com.br/raniele/profil/spieler/546530,"3,50 mi. €",27,Midfielders
Alan Franco,400960,https://www.transfermarkt.com.br/alan-franco/profil/spieler/400960,"3,50 mi. €",26,Midfielders
Allan,126422,https://www.transfermarkt.com.br/allan/profil/spieler/126422,"3,50 mi. €",33,Midfielders
Praxedes,574765,https://www.transfermarkt.com.br/praxedes/profil/spieler/574765,"3,50 mi. €",22,Midfielders
Lincoln,351738,https://www.transfermarkt.com.br/lincoln/profil/spieler/351738,"3,50 mi. €",26,Midfielders
Lucas Romero,242201,https://www.transfermarkt.com.br/lucas-romero/profil/spieler/242201,"3,20 mi. €",30,Midfielders
José Martínez,415666,https://www.transfermarkt.com.br/jose-martinez/profil/spieler/415666,"3,00 mi. €",30,Midfielders
Pepê,606716,https://www.transfermarkt.com.br/pepe/profil/spieler/606716,"3,00 mi. €",26,Midfielders
Du Queiroz,906774,https://www.transfermarkt.com.br/du-queiroz/profil/spieler/906774,"3,00 mi. €",24,Midfielders
Gregore,546036,https://www.transfermarkt.com.br/gregore/profil/spieler/546036,"3,00 mi. €",30,Midfielders
Rodriguinho,743593,https://www.transfermarkt.com.br/rodriguinho/profil/spieler/743593,"3,00 mi. €",20,Midfielders
Mateus Vital,408958,https://www.transfermarkt.com.br/mateus-vital/profil/spieler/408958,"3,00 mi. €",26,Midfielders
Jair,239294,https://www.transfermarkt.com.br/jair/profil/spieler/239294,"3,00 mi. €",30,Midfielders
Lima,387611,https://www.transfermarkt.com.br/lima/profil/spieler/387611,"3,00 mi. €",28,Midfielders
Gabriel Carvalho,1089144,https://www.transfermarkt.com.br/gabriel-carvalho/profil/spieler/1089144,"3,00 mi. €",17,Midfielders
Hércules,982617,https://www.transfermarkt.com.br/hercules/profil/spieler/982617,"3,00 mi. €",24,Midfielders
Danilo Barbosa,273438,https://www.transfermarkt.com.br/danilo-barbosa/profil/spieler/273438,"2,50 mi. €",28,Midfielders
Damián Bobadilla,861852,https://www.transfermarkt.com.br/damian-bobadilla/profil/spieler/861852,"2,50 mi. €",23,Midfielders
Gabriel Pires,167291,https://www.transfermarkt.com.br/gabriel-pires/profil/spieler/167291,"2,50 mi. €",31,Midfielders
Estêvão,1056993,https://www.transfermarkt.com.br/estevao/profil/spieler/1056993,"40,00 mi. €",17,Forwards
Pedro,432895,https://www.transfermarkt.com.br/pedro/profil/spieler/432895,"23,00 mi. €",27,Forwards
Paulinho,428791,https://www.transfermarkt.com.br/paulinho/profil/spieler/428791,"17,00 mi. €",24,Forwards
Luiz Henrique,800175,https://www.transfermarkt.com.br/luiz-henrique/profil/spieler/800175,"16,00 mi. €",23,Forwards
Jhon Arias,588989,https://www.transfermarkt.com.br/jhon-arias/profil/spieler/588989,"15,00 mi. €",27,Forwards
Yuri Alberto,489893,https://www.transfermarkt.com.br/yuri-alberto/profil/spieler/489893,"11,00 mi. €",23,Forwards
Memphis Depay,167850,https://www.transfermarkt.com.br/memphis-depay/profil/spieler/167850,"10,00 mi. €",30,Forwards
Everton,321239,https://www.transfermarkt.com.br/everton/profil/spieler/321239,"10,00 mi. €",28,Forwards
Rony,371009,https://www.transfermarkt.com.br/rony/profil/spieler/371009,"9,00 mi. €",29,Forwards
Luciano Rodríguez,856143,https://www.transfermarkt.com.br/luciano-rodriguez/profil/spieler/856143,"8,00 mi. €",21,Forwards
Kauã Elias,1119009,https://www.transfermarkt.com.br/kaua-elias/profil/spieler/1119009,"8,00 mi. €",18,Forwards
Nathan Fernandes,1083600,https://www.transfermarkt.com.br/nathan-fernandes/profil/spieler/1083600,"8,00 mi. €",19,Forwards
Wanderson,236202,https://www.transfermarkt.com.br/wanderson/profil/spieler/236202,"8,00 mi. €",30,Forwards
Rafael Borré,323831,https://www.transfermarkt.com.br/rafael-borre/profil/spieler/323831,"8,00 mi. €",29,Forwards
José Manuel López,844797,https://www.transfermarkt.com.br/jose-manuel-lopez/profil/spieler/844797,"8,00 mi. €",24,Forwards
Matheus Martins,668228,https://www.transfermarkt.com.br/matheus-martins/profil/spieler/668228,"7,00 mi. €",21,Forwards
Vitinho,670965,https://www.transfermarkt.com.br/vitinho/profil/spieler/670965,"7,00 mi. €",25,Forwards
Thiago Borbas,743951,https://www.transfermarkt.com.br/thiago-borbas/profil/spieler/743951,"7,00 mi. €",22,Forwards
Gabriel Veron,627221,https://www.transfermarkt.com.br/gabriel-veron/profil/spieler/627221,"7,00 mi. €",22,Forwards
Gabriel Barbosa,244275,https://www.transfermarkt.com.br/gabriel-barbosa/profil/spieler/244275,"7,00 mi. €",28,Forwards
Michael,520392,https://www.transfermarkt.com.br/michael/profil/spieler/520392,"7,00 mi. €",28,Forwards
Marquinhos,668268,https://www.transfermarkt.com.br/marquinhos/profil/spieler/668268,"7,00 mi. €",21,Forwards
John Kennedy,856085,https://www.transfermarkt.com.br/john-kennedy/profil/spieler/856085,"7,00 mi. €",22,Forwards
Yeferson Soteldo,312294,https://www.transfermarkt.com.br/yeferson-soteldo/profil/spieler/312294,"7,00 mi. €",27,Forwards
Matías Arezo,611426,https://www.transfermarkt.com.br/matias-arezo/profil/spieler/611426,"7,00 mi. €",22,Forwards
Yeferson Soteldo,312294,https://www.transfermarkt.com.br/yeferson-soteldo/profil/spieler/312294,"7,00 mi. €",27,Forwards
Rayan,1012564,https://www.transfermarkt.com.br/rayan/profil/spieler/1012564,"7,00 mi. €",18,Forwards
Matheus Nascimento,743594,https://www.transfermarkt.com.br/matheus-nascimento/profil/spieler/743594,"6,00 mi. €",20,Forwards
Talles Magno,677512,https://www.transfermarkt.com.br/talles-magno/profil/spieler/677512,"6,00 mi. €",22,Forwards
Gonzalo Plata,592735,https://www.transfermarkt.com.br/gonzalo-plata/profil/spieler/592735,"6,00 mi. €",24,Forwards
Igor Jesus,432164,https://www.transfermarkt.com.br/igor-jesus/profil/spieler/432164,"6,00 mi. €",23,Forwards
Wesley,674732,https://www.transfermarkt.com.br/wesley/profil/spieler/674732,"5,50 mi. €",25,Forwards
Ferreirinha,689017,https://www.transfermarkt.com.br/ferreirinha/profil/spieler/689017,"5,00 mi. €",26,Forwards
William Gomes,1004725,https://www.transfermarkt.com.br/william-gomes/profil/spieler/1004725,"5,00 mi. €",18,Forwards
Alexander Aravena,662742,https://www.transfermarkt.com.br/alexander-aravena/profil/spieler/662742,"5,00 mi. €",22,Forwards
Isidro Pitta,675178,https://www.transfermarkt.com.br/isidro-pitta/profil/spieler/675178,"5,00 mi. €",25,Forwards
Agustín Canobbio,457533,https://www.transfermarkt.com.br/agustin-canobbio/profil/spieler/457533,"5,00 mi. €",26,Forwards
Lucas Moura,77100,https://www.transfermarkt.com.br/lucas-moura/profil/spieler/77100,"5,00 mi. €",32,Forwards
Jeffinho,884072,https://www.transfermarkt.com.br/jeffinho/profil/spieler/884072,"5,00 mi. €",24,Forwards
Alisson,1083070,https://www.transfermarkt.com.br/alisson/profil/spieler/1083070,"4,50 mi. €",19,Forwards
Adson,868891,https://www.transfermarkt.com.br/adson/profil/spieler/868891,"4,50 mi. €",24,Forwards
Cristian Pavón,373170,https://www.transfermarkt.com.br/cristian-pavon/profil/spieler/373170,"4,50 mi. €",28,Forwards
Kaio Jorge,620477,https://www.transfermarkt.com.br/kaio-jorge/profil/spieler/620477,"4,00 mi. €",22,Forwards
Luiz Araújo,435485,https://www.transfermarkt.com.br/luiz-araujo/profil/spieler/435485,"4,00 mi. €",28,Forwards
Dudu,114937,https://www.transfermarkt.com.br/dudu/profil/spieler/114937,"4,00 mi. €",32,Forwards
Biel,875328,https://www.transfermarkt.com.br/biel/profil/spieler/875328,"4,00 mi. €",23,Forwards
Giovane,1005165,https://www.transfermarkt.com.br/giovane/profil/spieler/1005165,"4,00 mi. €",21,Forwards
Júnior Santos,592347,https://www.transfermarkt.com.br/junior-santos/profil/spieler/592347,"4,00 mi. €",30,Forwards
Juan Dinenno,288786,https://www.transfermarkt.com.br/juan-dinenno/profil/spieler/288786,"4,00 mi. €",30,Forwards
Jonathan Calleri,284727,https://www.transfermarkt.com.br/jonathan-calleri/profil/spieler/284727,"3,50 mi. €",31,Forwards
Bruno Rodrigues,406766,https://www.transfermarkt.com.br/bruno-rodrigues/profil/spieler/406766,"3,50 mi. €",27,Forwards
André Silva,565232,https://www.transfermarkt.com.br/andre-silva/profil/spieler/565232,"3,50 mi. €",27,Forwards
Lázaro,574772,https://www.transfermarkt.com.br/lazaro/profil/spieler/574772,"3,50 mi. €",22,Forwards
Martin Braithwaite,95732,https://www.transfermarkt.com.br/martin-braithwaite/profil/spieler/95732,"3,20 mi. €",33,Forwards
Imanol Machuca,829968,https://www.transfermarkt.com.br/imanol-machuca/profil/spieler/829968,"3,00 mi. €",24,Forwards
Pedro Raul,547443,https://www.transfermarkt.com.br/pedro-raul/profil/spieler/547443,"3,00 mi. €",28,Forwards
Alerrandro,371996,https://www.transfermarkt.com.br/alerrandro/profil/spieler/371996,"3,00 mi. €",24,Forwards
Tomás Cuello,503052,https://www.transfermarkt.com.br/tomas-cuello/profil/spieler/503052,"3,00 mi. €",24,Forwards
Matheus Gonçalves,961046,https://www.transfermarkt.com.br/matheus-goncalves/profil/spieler/961046,"3,00 mi. €",19,Forwards
Ademir,544259,https://www.transfermarkt.com.br/ademir/profil/spieler/544259,"3,00 mi. €",29,Forwards
Jean Meneses,217228,https://www.transfermarkt.com.br/jean-meneses/profil/spieler/217228,"3,00 mi. €",31,Forwards
Bruno Tabata,438202,https://www.transfermarkt.com.br/bruno-tabata/profil/spieler/438202,"2,80 mi. €",27,Forwards
Tiquinho Soares,103381,https://www.transfermarkt.com.br/tiquinho-soares/profil/spieler/103381,"2,70 mi. €",33,Forwards
Rafael Ratão,289802,https://www.transfermarkt.com.br/rafael-ratao/profil/spieler/289802,"2,50 mi. €",29,Forwards
Breno Lopes,542598,https://www.transfermarkt.com.br/breno-lopes/profil/spieler/542598,"2,50 mi. €",28,Forwards
Enner Valencia,139503,https://www.transfermarkt.com.br/enner-valencia/profil/spieler/139503,"2,50 mi. €",35,Forwards
Bernard,175169,https://www.transfermarkt.com.br/bernard/profil/spieler/175169,"2,50 mi. €",32,Forwards
Luciano,223560,https://www.transfermarkt.com.br/luciano/profil/spieler/223560,"2,50 mi. €",31,Forwards
Héctor Hernández,273738,https://www.transfermarkt.com.br/hector-hernandez/profil/spieler/273738,"2,00 mi. €",29,Forwards
Lucas Barbosa,816144,https://www.transfermarkt.com.br/lucas-barbosa/profil/spieler/816144,"2,00 mi. €",23,Forwards
Gonzalo Mastriani,195882,https://www.transfermarkt.com.br/gonzalo-mastriani/profil/spieler/195882,"2,00 mi. €",31,Forwards
David,373189,https://www.transfermarkt.com.br/david/profil/spieler/373189,"2,00 mi. €",29,Forwards
Lucas Di Yorio,439108,https://www.transfermarkt.com.br/lucas-di-yorio/profil/spieler/439108,"2,00 mi. €",28,Forwards
Luighi,1158001,https://www.transfermarkt.com.br/luighi/profil/spieler/1158001,"2,00 mi. €",18,Forwards
Emerson Rodríguez,715140,https://www.transfermarkt.com.br/emerson-rodriguez/profil/spieler/715140,"2,00 mi. €",24,Forwards
